tournamentName,slotNumber,locationName,categoryName,performerName,performerNumber,clubName,performanceName,judgeDevice,judgeName,criteriaName
Test SM Single,1,F1,single-ü15-beginner-speed-30sSingleRope,AthleteA,1,Club1,single-ü15-beginner-speed-30sSingleRope-AthleteA,J1,Judge1,speed
Test SM Single,1,F1,single-ü15-beginner-speed-30sSingleRope,AthleteA,1,Club1,single-ü15-beginner-speed-30sSingleRope-AthleteA,J2,Judge2,speed
Test SM Single,1,F1,single-ü15-beginner-speed-30sSingleRope,AthleteA,1,Club1,single-ü15-beginner-speed-30sSingleRope-AthleteA,J3,Judge3,speed
Test SM Single,1,F2,single-ü15-beginner-speed-30sSingleRope,AthleteB,2,Club2,single-ü15-beginner-speed-30sSingleRope-AthleteB,J4,Judge4,speed
Test SM Single,1,F2,single-ü15-beginner-speed-30sSingleRope,AthleteB,2,Club2,single-ü15-beginner-speed-30sSingleRope-AthleteB,J5,Judge5,speed
Test SM Single,1,F2,single-ü15-beginner-speed-30sSingleRope,AthleteB,2,Club2,single-ü15-beginner-speed-30sSingleRope-AthleteB,J6,Judge6,speed
Test SM Single,1,F3,single-ü15-beginner-speed-30sSingleRope,AthleteC,3,Club3,single-ü15-beginner-speed-30sSingleRope-AthleteC,J7,Judge7,speed
Test SM Single,1,F3,single-ü15-beginner-speed-30sSingleRope,AthleteC,3,Club3,single-ü15-beginner-speed-30sSingleRope-AthleteC,J8,Judge8,speed
Test SM Single,1,F3,single-ü15-beginner-speed-30sSingleRope,AthleteC,3,Club3,single-ü15-beginner-speed-30sSingleRope-AthleteC,J9,Judge9,speed
Test SM Single,1,F4,single-ü15-beginner-speed-30sSingleRope,AthleteD,4,Club4,single-ü15-beginner-speed-30sSingleRope-AthleteD,J10,Judge10,speed
Test SM Single,1,F4,single-ü15-beginner-speed-30sSingleRope,AthleteD,4,Club4,single-ü15-beginner-speed-30sSingleRope-AthleteD,J11,Judge11,speed
Test SM Single,1,F4,single-ü15-beginner-speed-30sSingleRope,AthleteD,4,Club4,single-ü15-beginner-speed-30sSingleRope-AthleteD,J12,Judge12,speed
Test SM Single,1,F5,single-ü15-beginner-speed-30sSingleRope,AthleteE,5,Club5,single-ü15-beginner-speed-30sSingleRope-AthleteE,J13,Judge13,speed
Test SM Single,1,F5,single-ü15-beginner-speed-30sSingleRope,AthleteE,5,Club5,single-ü15-beginner-speed-30sSingleRope-AthleteE,J14,Judge14,speed
Test SM Single,1,F5,single-ü15-beginner-speed-30sSingleRope,AthleteE,5,Club5,single-ü15-beginner-speed-30sSingleRope-AthleteE,J15,Judge15,speed
Test SM Single,2,F6,single-ü15-intermediate-speed-30sSingleRope,AthleteG,11,Club1,single-ü15-intermediate-speed-30sSingleRope-AthleteG,J16,Judge16,speed
Test SM Single,2,F6,single-ü15-intermediate-speed-30sSingleRope,AthleteG,11,Club1,single-ü15-intermediate-speed-30sSingleRope-AthleteG,J17,Judge17,speed
Test SM Single,2,F6,single-ü15-intermediate-speed-30sSingleRope,AthleteG,11,Club1,single-ü15-intermediate-speed-30sSingleRope-AthleteG,J18,Judge18,speed
Test SM Single,2,F7,single-ü15-intermediate-speed-30sSingleRope,AthleteH,12,Club2,single-ü15-intermediate-speed-30sSingleRope-AthleteH,J19,Judge19,speed
Test SM Single,2,F7,single-ü15-intermediate-speed-30sSingleRope,AthleteH,12,Club2,single-ü15-intermediate-speed-30sSingleRope-AthleteH,J20,Judge20,speed
Test SM Single,2,F7,single-ü15-intermediate-speed-30sSingleRope,AthleteH,12,Club2,single-ü15-intermediate-speed-30sSingleRope-AthleteH,J21,Judge21,speed
Test SM Single,2,F8,single-ü15-intermediate-speed-30sSingleRope,AthleteI,13,Club3,single-ü15-intermediate-speed-30sSingleRope-AthleteI,J22,Judge22,speed
Test SM Single,2,F8,single-ü15-intermediate-speed-30sSingleRope,AthleteI,13,Club3,single-ü15-intermediate-speed-30sSingleRope-AthleteI,J23,Judge23,speed
Test SM Single,2,F8,single-ü15-intermediate-speed-30sSingleRope,AthleteI,13,Club3,single-ü15-intermediate-speed-30sSingleRope-AthleteI,J24,Judge24,speed
Test SM Single,2,F1,single-ü15-intermediate-speed-30sSingleRope,AthleteJ,14,Club4,single-ü15-intermediate-speed-30sSingleRope-AthleteJ,J1,Judge1,speed
Test SM Single,2,F1,single-ü15-intermediate-speed-30sSingleRope,AthleteJ,14,Club4,single-ü15-intermediate-speed-30sSingleRope-AthleteJ,J2,Judge2,speed
Test SM Single,2,F1,single-ü15-intermediate-speed-30sSingleRope,AthleteJ,14,Club4,single-ü15-intermediate-speed-30sSingleRope-AthleteJ,J3,Judge3,speed
Test SM Single,2,F2,single-ü15-intermediate-speed-30sSingleRope,AthleteK,15,Club5,single-ü15-intermediate-speed-30sSingleRope-AthleteK,J4,Judge4,speed
