tournamentName,slotNumber,locationName,categoryName,performerName,performerNumber,clubName,performanceName,judgeDevice,judgeName,criteriaName
Team SM 2023,1,F1,team-open-erso-speed-singleRopeRelay,Baar 3,1,TV Baar,team-open-erso-speed-singleRopeRelay-Baar 3,J1,Lara Zedi,speed
Team SM 2023,1,F1,team-open-erso-speed-singleRopeRelay,Baar 3,1,TV Baar,team-open-erso-speed-singleRopeRelay-Baar 3,J2,Anja Bär,speed
Team SM 2023,1,F1,team-open-erso-speed-singleRopeRelay,Baar 3,1,TV Baar,team-open-erso-speed-singleRopeRelay-Baar 3,J3,Amelie Zaugg,speed
Team SM 2023,1,F2,team-open-erso-speed-singleRopeRelay,Dragon Jumpers,2,Dragon Jumpers Kriens,team-open-erso-speed-singleRopeRelay-Dragon Jumpers,J4,Melanie Zimmermann,speed
Team SM 2023,1,F2,team-open-erso-speed-singleRopeRelay,Dragon Jumpers,2,Dragon Jumpers Kriens,team-open-erso-speed-singleRopeRelay-Dragon Jumpers,J5,Rahel Weber,speed
Team SM 2023,1,F2,team-open-erso-speed-singleRopeRelay,Dragon Jumpers,2,Dragon Jumpers Kriens,team-open-erso-speed-singleRopeRelay-Dragon Jumpers,J6,Cathy Bühler,speed
Team SM 2023,1,F3,team-open-erso-speed-singleRopeRelay,Baar 2,3,TV Baar,team-open-erso-speed-singleRopeRelay-Baar 2,J7,Angelika Nobbe,speed
Team SM 2023,1,F3,team-open-erso-speed-singleRopeRelay,Baar 2,3,TV Baar,team-open-erso-speed-singleRopeRelay-Baar 2,J8,Pascale Grünenfelder,speed
Team SM 2023,1,F3,team-open-erso-speed-singleRopeRelay,Baar 2,3,TV Baar,team-open-erso-speed-singleRopeRelay-Baar 2,J9,Ramona Schär,speed
Team SM 2023,2,F2,team-open-erso-speed-singleRopeRelay,Zürijumpers,4,Zürijumpers,team-open-erso-speed-singleRopeRelay-Zürijumpers,J4,Melanie Zimmermann,speed
Team SM 2023,2,F2,team-open-erso-speed-singleRopeRelay,Zürijumpers,4,Zürijumpers,team-open-erso-speed-singleRopeRelay-Zürijumpers,J5,Rahel Weber,speed
Team SM 2023,2,F2,team-open-erso-speed-singleRopeRelay,Zürijumpers,4,Zürijumpers,team-open-erso-speed-singleRopeRelay-Zürijumpers,J6,Cathy Bühler,speed
Team SM 2023,2,F3,team-open-erso-speed-singleRopeRelay,Baar 1,5,TV Baar,team-open-erso-speed-singleRopeRelay-Baar 1,J7,Angelika Nobbe,speed
Team SM 2023,2,F3,team-open-erso-speed-singleRopeRelay,Baar 1,5,TV Baar,team-open-erso-speed-singleRopeRelay-Baar 1,J8,Pascale Grünenfelder,speed
Team SM 2023,2,F3,team-open-erso-speed-singleRopeRelay,Baar 1,5,TV Baar,team-open-erso-speed-singleRopeRelay-Baar 1,J9,Ramona Schär,speed
Team SM 2023,2,F4,team-open-erso-speed-singleRopeRelay,Team Österreich,11,Österreich,team-open-erso-speed-singleRopeRelay-Team Österreich,J10,Mirjam Schlatter,speed
Team SM 2023,2,F4,team-open-erso-speed-singleRopeRelay,Team Österreich,11,Österreich,team-open-erso-speed-singleRopeRelay-Team Österreich,J11,Anouk Presotto,speed
Team SM 2023,2,F4,team-open-erso-speed-singleRopeRelay,Team Österreich,11,Österreich,team-open-erso-speed-singleRopeRelay-Team Österreich,J12,Carmela Müller,speed
Team SM 2023,3,F1,team-u12-teamShow-speed-singleRopeRelay,Jumping Frogs,401,Rynach Skippers,team-u12-teamShow-speed-singleRopeRelay-Jumping Frogs,J1,Lara Zedi,speed
Team SM 2023,3,F1,team-u12-teamShow-speed-singleRopeRelay,Jumping Frogs,401,Rynach Skippers,team-u12-teamShow-speed-singleRopeRelay-Jumping Frogs,J2,Anja Bär,speed
Team SM 2023,3,F1,team-u12-teamShow-speed-singleRopeRelay,Jumping Frogs,401,Rynach Skippers,team-u12-teamShow-speed-singleRopeRelay-Jumping Frogs,J3,Amelie Zaugg,speed
Team SM 2023,3,F2,team-u12-teamShow-speed-singleRopeRelay,Rynach Kids,402,Rynach Skippers,team-u12-teamShow-speed-singleRopeRelay-Rynach Kids,J4,Melanie Zimmermann,speed
Team SM 2023,3,F2,team-u12-teamShow-speed-singleRopeRelay,Rynach Kids,402,Rynach Skippers,team-u12-teamShow-speed-singleRopeRelay-Rynach Kids,J5,Rahel Weber,speed
Team SM 2023,3,F2,team-u12-teamShow-speed-singleRopeRelay,Rynach Kids,402,Rynach Skippers,team-u12-teamShow-speed-singleRopeRelay-Rynach Kids,J6,Cathy Bühler,speed
Team SM 2023,3,F3,team-u12-teamShow-speed-singleRopeRelay,Pizza Bäcker,403,SATUS Dachsen,team-u12-teamShow-speed-singleRopeRelay-Pizza Bäcker,J7,Angelika Nobbe,speed
Team SM 2023,3,F3,team-u12-teamShow-speed-singleRopeRelay,Pizza Bäcker,403,SATUS Dachsen,team-u12-teamShow-speed-singleRopeRelay-Pizza Bäcker,J8,Pascale Grünenfelder,speed
Team SM 2023,3,F3,team-u12-teamShow-speed-singleRopeRelay,Pizza Bäcker,403,SATUS Dachsen,team-u12-teamShow-speed-singleRopeRelay-Pizza Bäcker,J9,Ramona Schär,speed
Team SM 2023,3,F4,team-u12-teamShow-speed-singleRopeRelay,"sun, fun and jumping to do",404,SATUS Dachsen,"team-u12-teamShow-speed-singleRopeRelay-sun, fun and jumping to do",J10,Mirjam Schlatter,speed
Team SM 2023,3,F4,team-u12-teamShow-speed-singleRopeRelay,"sun, fun and jumping to do",404,SATUS Dachsen,"team-u12-teamShow-speed-singleRopeRelay-sun, fun and jumping to do",J11,Anouk Presotto,speed
Team SM 2023,3,F4,team-u12-teamShow-speed-singleRopeRelay,"sun, fun and jumping to do",404,SATUS Dachsen,"team-u12-teamShow-speed-singleRopeRelay-sun, fun and jumping to do",J12,Carmela Müller,speed
Team SM 2023,4,F1,team-u12-teamShow-speed-singleRopeRelay,The four trees,405,Fides Niedergösgen,team-u12-teamShow-speed-singleRopeRelay-The four trees,J1,Lara Zedi,speed
Team SM 2023,4,F1,team-u12-teamShow-speed-singleRopeRelay,The four trees,405,Fides Niedergösgen,team-u12-teamShow-speed-singleRopeRelay-The four trees,J2,Anja Bär,speed
Team SM 2023,4,F1,team-u12-teamShow-speed-singleRopeRelay,The four trees,405,Fides Niedergösgen,team-u12-teamShow-speed-singleRopeRelay-The four trees,J3,Amelie Zaugg,speed
Team SM 2023,4,F2,team-u12-teamShow-speed-singleRopeRelay,Die magischen Tiere,406,Fides Niedergösgen,team-u12-teamShow-speed-singleRopeRelay-Die magischen Tiere,J4,Melanie Zimmermann,speed
Team SM 2023,4,F2,team-u12-teamShow-speed-singleRopeRelay,Die magischen Tiere,406,Fides Niedergösgen,team-u12-teamShow-speed-singleRopeRelay-Die magischen Tiere,J5,Rahel Weber,speed
Team SM 2023,4,F2,team-u12-teamShow-speed-singleRopeRelay,Die magischen Tiere,406,Fides Niedergösgen,team-u12-teamShow-speed-singleRopeRelay-Die magischen Tiere,J6,Cathy Bühler,speed
Team SM 2023,4,F3,team-u12-teamShow-speed-singleRopeRelay,Fabio und die starken Mädchen,407,Zürijumpers,team-u12-teamShow-speed-singleRopeRelay-Fabio und die starken Mädchen,J7,Angelika Nobbe,speed
Team SM 2023,4,F3,team-u12-teamShow-speed-singleRopeRelay,Fabio und die starken Mädchen,407,Zürijumpers,team-u12-teamShow-speed-singleRopeRelay-Fabio und die starken Mädchen,J8,Pascale Grünenfelder,speed
Team SM 2023,4,F3,team-u12-teamShow-speed-singleRopeRelay,Fabio und die starken Mädchen,407,Zürijumpers,team-u12-teamShow-speed-singleRopeRelay-Fabio und die starken Mädchen,J9,Ramona Schär,speed
Team SM 2023,4,F4,team-u12-teamShow-speed-singleRopeRelay,Abenteuersmileys,408,Rynach Skippers,team-u12-teamShow-speed-singleRopeRelay-Abenteuersmileys,J10,Mirjam Schlatter,speed
Team SM 2023,4,F4,team-u12-teamShow-speed-singleRopeRelay,Abenteuersmileys,408,Rynach Skippers,team-u12-teamShow-speed-singleRopeRelay-Abenteuersmileys,J11,Anouk Presotto,speed
Team SM 2023,4,F4,team-u12-teamShow-speed-singleRopeRelay,Abenteuersmileys,408,Rynach Skippers,team-u12-teamShow-speed-singleRopeRelay-Abenteuersmileys,J12,Carmela Müller,speed
Team SM 2023,5,F1,team-u15-teamShow-speed-singleRopeRelay,Dragon Jumpers Kids,301,Dragon Jumpers Kriens,team-u15-teamShow-speed-singleRopeRelay-Dragon Jumpers Kids,J1,Lara Zedi,speed
Team SM 2023,5,F1,team-u15-teamShow-speed-singleRopeRelay,Dragon Jumpers Kids,301,Dragon Jumpers Kriens,team-u15-teamShow-speed-singleRopeRelay-Dragon Jumpers Kids,J2,Anja Bär,speed
Team SM 2023,5,F1,team-u15-teamShow-speed-singleRopeRelay,Dragon Jumpers Kids,301,Dragon Jumpers Kriens,team-u15-teamShow-speed-singleRopeRelay-Dragon Jumpers Kids,J3,Amelie Zaugg,speed
Team SM 2023,5,F3,team-u15-teamShow-speed-singleRopeRelay,Seilstars,302,Jump Rope Steffisburg,team-u15-teamShow-speed-singleRopeRelay-Seilstars,J7,Angelika Nobbe,speed
Team SM 2023,5,F3,team-u15-teamShow-speed-singleRopeRelay,Seilstars,302,Jump Rope Steffisburg,team-u15-teamShow-speed-singleRopeRelay-Seilstars,J8,Pascale Grünenfelder,speed
Team SM 2023,5,F3,team-u15-teamShow-speed-singleRopeRelay,Seilstars,302,Jump Rope Steffisburg,team-u15-teamShow-speed-singleRopeRelay-Seilstars,J9,Ramona Schär,speed
Team SM 2023,5,F4,team-u15-teamShow-speed-singleRopeRelay,Baar 6,303,TV Baar,team-u15-teamShow-speed-singleRopeRelay-Baar 6,J10,Mirjam Schlatter,speed
Team SM 2023,5,F4,team-u15-teamShow-speed-singleRopeRelay,Baar 6,303,TV Baar,team-u15-teamShow-speed-singleRopeRelay-Baar 6,J11,Anouk Presotto,speed
Team SM 2023,5,F4,team-u15-teamShow-speed-singleRopeRelay,Baar 6,303,TV Baar,team-u15-teamShow-speed-singleRopeRelay-Baar 6,J12,Carmela Müller,speed
Team SM 2023,6,F1,team-u15-teamShow-speed-singleRopeRelay,Freaky Skippers,304,Rynach Skippers,team-u15-teamShow-speed-singleRopeRelay-Freaky Skippers,J1,Lara Zedi,speed
Team SM 2023,6,F1,team-u15-teamShow-speed-singleRopeRelay,Freaky Skippers,304,Rynach Skippers,team-u15-teamShow-speed-singleRopeRelay-Freaky Skippers,J2,Anja Bär,speed
Team SM 2023,6,F1,team-u15-teamShow-speed-singleRopeRelay,Freaky Skippers,304,Rynach Skippers,team-u15-teamShow-speed-singleRopeRelay-Freaky Skippers,J3,Amelie Zaugg,speed
Team SM 2023,6,F2,team-u15-teamShow-speed-singleRopeRelay,Älplermagronä,305,SATUS Dachsen,team-u15-teamShow-speed-singleRopeRelay-Älplermagronä,J4,Melanie Zimmermann,speed
Team SM 2023,6,F2,team-u15-teamShow-speed-singleRopeRelay,Älplermagronä,305,SATUS Dachsen,team-u15-teamShow-speed-singleRopeRelay-Älplermagronä,J5,Rahel Weber,speed
Team SM 2023,6,F2,team-u15-teamShow-speed-singleRopeRelay,Älplermagronä,305,SATUS Dachsen,team-u15-teamShow-speed-singleRopeRelay-Älplermagronä,J6,Cathy Bühler,speed
Team SM 2023,6,F4,team-u15-teamShow-speed-singleRopeRelay,Baar 5,306,TV Baar,team-u15-teamShow-speed-singleRopeRelay-Baar 5,J10,Mirjam Schlatter,speed
Team SM 2023,6,F4,team-u15-teamShow-speed-singleRopeRelay,Baar 5,306,TV Baar,team-u15-teamShow-speed-singleRopeRelay-Baar 5,J11,Anouk Presotto,speed
Team SM 2023,6,F4,team-u15-teamShow-speed-singleRopeRelay,Baar 5,306,TV Baar,team-u15-teamShow-speed-singleRopeRelay-Baar 5,J12,Carmela Müller,speed
Team SM 2023,7,F1,team-u15-teamShow-speed-singleRopeRelay,GIRLS!,307,Rynach Skippers,team-u15-teamShow-speed-singleRopeRelay-GIRLS!,J1,Lara Zedi,speed
Team SM 2023,7,F1,team-u15-teamShow-speed-singleRopeRelay,GIRLS!,307,Rynach Skippers,team-u15-teamShow-speed-singleRopeRelay-GIRLS!,J2,Anja Bär,speed
Team SM 2023,7,F1,team-u15-teamShow-speed-singleRopeRelay,GIRLS!,307,Rynach Skippers,team-u15-teamShow-speed-singleRopeRelay-GIRLS!,J3,Amelie Zaugg,speed
Team SM 2023,7,F2,team-u15-teamShow-speed-singleRopeRelay,Die 5 Kinomäuse,308,Fides Niedergösgen,team-u15-teamShow-speed-singleRopeRelay-Die 5 Kinomäuse,J4,Melanie Zimmermann,speed
Team SM 2023,7,F2,team-u15-teamShow-speed-singleRopeRelay,Die 5 Kinomäuse,308,Fides Niedergösgen,team-u15-teamShow-speed-singleRopeRelay-Die 5 Kinomäuse,J5,Rahel Weber,speed
Team SM 2023,7,F2,team-u15-teamShow-speed-singleRopeRelay,Die 5 Kinomäuse,308,Fides Niedergösgen,team-u15-teamShow-speed-singleRopeRelay-Die 5 Kinomäuse,J6,Cathy Bühler,speed
Team SM 2023,7,F3,team-u15-teamShow-speed-singleRopeRelay,Summer-Vibes,309,Jump Rope Steffisburg,team-u15-teamShow-speed-singleRopeRelay-Summer-Vibes,J7,Angelika Nobbe,speed
Team SM 2023,7,F3,team-u15-teamShow-speed-singleRopeRelay,Summer-Vibes,309,Jump Rope Steffisburg,team-u15-teamShow-speed-singleRopeRelay-Summer-Vibes,J8,Pascale Grünenfelder,speed
Team SM 2023,7,F3,team-u15-teamShow-speed-singleRopeRelay,Summer-Vibes,309,Jump Rope Steffisburg,team-u15-teamShow-speed-singleRopeRelay-Summer-Vibes,J9,Ramona Schär,speed
Team SM 2023,8,F1,team-u21-teamShow-speed-singleRopeRelay,Colorado Tornado Avocado,201,SATUS Dachsen,team-u21-teamShow-speed-singleRopeRelay-Colorado Tornado Avocado,J1,Lara Zedi,speed
Team SM 2023,8,F1,team-u21-teamShow-speed-singleRopeRelay,Colorado Tornado Avocado,201,SATUS Dachsen,team-u21-teamShow-speed-singleRopeRelay-Colorado Tornado Avocado,J2,Anja Bär,speed
Team SM 2023,8,F1,team-u21-teamShow-speed-singleRopeRelay,Colorado Tornado Avocado,201,SATUS Dachsen,team-u21-teamShow-speed-singleRopeRelay-Colorado Tornado Avocado,J3,Amelie Zaugg,speed
Team SM 2023,8,F2,team-u21-teamShow-speed-singleRopeRelay,Simply the best,202,Jump Rope Steffisburg,team-u21-teamShow-speed-singleRopeRelay-Simply the best,J4,Melanie Zimmermann,speed
Team SM 2023,8,F2,team-u21-teamShow-speed-singleRopeRelay,Simply the best,202,Jump Rope Steffisburg,team-u21-teamShow-speed-singleRopeRelay-Simply the best,J5,Rahel Weber,speed
Team SM 2023,8,F2,team-u21-teamShow-speed-singleRopeRelay,Simply the best,202,Jump Rope Steffisburg,team-u21-teamShow-speed-singleRopeRelay-Simply the best,J6,Cathy Bühler,speed
Team SM 2023,8,F3,team-u21-teamShow-speed-singleRopeRelay,m&m's,203,Rynach Skippers,team-u21-teamShow-speed-singleRopeRelay-m&m's,J7,Angelika Nobbe,speed
Team SM 2023,8,F3,team-u21-teamShow-speed-singleRopeRelay,m&m's,203,Rynach Skippers,team-u21-teamShow-speed-singleRopeRelay-m&m's,J8,Pascale Grünenfelder,speed
Team SM 2023,8,F3,team-u21-teamShow-speed-singleRopeRelay,m&m's,203,Rynach Skippers,team-u21-teamShow-speed-singleRopeRelay-m&m's,J9,Ramona Schär,speed
Team SM 2023,8,F4,team-u21-teamShow-speed-singleRopeRelay,Baar 4,204,TV Baar,team-u21-teamShow-speed-singleRopeRelay-Baar 4,J10,Mirjam Schlatter,speed
Team SM 2023,8,F4,team-u21-teamShow-speed-singleRopeRelay,Baar 4,204,TV Baar,team-u21-teamShow-speed-singleRopeRelay-Baar 4,J11,Anouk Presotto,speed
